,id,date_time,year,month,mdate,day,time,sensor_id,sensor_name,hourly_counts
451,2888078,2019-11-02T01:00:00.000,2019,November,2,Saturday,1,45,Little Collins St-Swanston St (East),248
452,2888079,2019-11-02T01:00:00.000,2019,November,2,Saturday,1,46,Pelham St (S),9
453,2888080,2019-11-02T01:00:00.000,2019,November,2,Saturday,1,47,Melbourne Central-Elizabeth St (East),260
454,2845162,2019-09-29T14:00:00.000,2019,September,29,Sunday,14,46,Pelham St (S),104
455,2888081,2019-11-02T01:00:00.000,2019,November,2,Saturday,1,48,QVM-Queen St (East),33
456,2888082,2019-11-02T01:00:00.000,2019,November,2,Saturday,1,49,QVM-Therry St (South),94
457,2888083,2019-11-02T01:00:00.000,2019,November,2,Saturday,1,50,Faraday St-Lygon St (West),19
458,2888084,2019-11-02T01:00:00.000,2019,November,2,Saturday,1,51,QVM-Franklin St (North),38
459,2888085,2019-11-02T01:00:00.000,2019,November,2,Saturday,1,52,Elizabeth St-Lonsdale St (South),249
460,2888086,2019-11-02T01:00:00.000,2019,November,2,Saturday,1,54,Lincoln-Swanston(West),37
461,2888087,2019-11-02T01:00:00.000,2019,November,2,Saturday,1,55,Elizabeth St-La Trobe St (East),328
462,2888088,2019-11-02T01:00:00.000,2019,November,2,Saturday,1,56,Lonsdale St - Elizabeth St (North),71
463,2888089,2019-11-02T01:00:00.000,2019,November,2,Saturday,1,57,Bourke St Bridge,27
464,2888090,2019-11-02T01:00:00.000,2019,November,2,Saturday,1,58,Bourke St - Spencer St (North),156
465,2888091,2019-11-02T01:00:00.000,2019,November,2,Saturday,1,59,Swanston St - RMIT Building 80,0
466,2888092,2019-11-02T01:00:00.000,2019,November,2,Saturday,1,61,Swanston St - RMIT Building 14,83
467,2888093,2019-11-02T01:00:00.000,2019,November,2,Saturday,1,62,La Trobe St (North),95
468,2888094,2019-11-02T02:00:00.000,2019,November,2,Saturday,2,4,Town Hall (West),205
469,2888095,2019-11-02T02:00:00.000,2019,November,2,Saturday,2,17,Collins Place (South),23
470,2888096,2019-11-02T02:00:00.000,2019,November,2,Saturday,2,18,Collins Place (North),15
471,2888097,2019-11-02T02:00:00.000,2019,November,2,Saturday,2,53,Collins St (North),45
472,2888098,2019-11-02T02:00:00.000,2019,November,2,Saturday,2,2,Bourke Street Mall (South),74
473,2888099,2019-11-02T02:00:00.000,2019,November,2,Saturday,2,1,Bourke Street Mall (North),63
474,2888100,2019-11-02T02:00:00.000,2019,November,2,Saturday,2,3,Melbourne Central,301
475,2888101,2019-11-02T02:00:00.000,2019,November,2,Saturday,2,15,State Library,83
476,2888102,2019-11-02T02:00:00.000,2019,November,2,Saturday,2,9,Southern Cross Station,15
477,2888103,2019-11-02T02:00:00.000,2019,November,2,Saturday,2,10,Victoria Point,10
478,2888104,2019-11-02T02:00:00.000,2019,November,2,Saturday,2,12,New Quay,4
479,2888105,2019-11-02T02:00:00.000,2019,November,2,Saturday,2,11,Waterfront City,0
480,2888106,2019-11-02T02:00:00.000,2019,November,2,Saturday,2,8,Webb Bridge,7
481,2888107,2019-11-02T02:00:00.000,2019,November,2,Saturday,2,7,Birrarung Marr,2
482,2888108,2019-11-02T02:00:00.000,2019,November,2,Saturday,2,5,Princes Bridge,111
483,2888109,2019-11-02T02:00:00.000,2019,November,2,Saturday,2,6,Flinders Street Station Underpass,195
484,2888110,2019-11-02T02:00:00.000,2019,November,2,Saturday,2,14,Sandridge Bridge,7
485,2888111,2019-11-02T02:00:00.000,2019,November,2,Saturday,2,26,QV Market-Elizabeth St (West),110
486,2888112,2019-11-02T02:00:00.000,2019,November,2,Saturday,2,24,Spencer St-Collins St (North),91
487,2888113,2019-11-02T02:00:00.000,2019,November,2,Saturday,2,23,Spencer St-Collins St (South),23
488,2888114,2019-11-02T02:00:00.000,2019,November,2,Saturday,2,25,Melbourne Convention Exhibition Centre,97
489,2888115,2019-11-02T02:00:00.000,2019,November,2,Saturday,2,21,Bourke St-Russell St (West),282
490,2888116,2019-11-02T02:00:00.000,2019,November,2,Saturday,2,20,Chinatown-Lt Bourke St (South),117
491,2888117,2019-11-02T02:00:00.000,2019,November,2,Saturday,2,19,Chinatown-Swanston St (North),92
492,2888118,2019-11-02T02:00:00.000,2019,November,2,Saturday,2,22,Flinders St-Elizabeth St (East),342
493,2888119,2019-11-02T02:00:00.000,2019,November,2,Saturday,2,27,QV Market-Peel St,15
494,2888120,2019-11-02T02:00:00.000,2019,November,2,Saturday,2,28,The Arts Centre,51
495,2888121,2019-11-02T02:00:00.000,2019,November,2,Saturday,2,31,Lygon St (West),17
496,2888122,2019-11-02T02:00:00.000,2019,November,2,Saturday,2,30,Lonsdale St (South),346
497,2888123,2019-11-02T02:00:00.000,2019,November,2,Saturday,2,34,Flinders St-Spark La,4
498,2888124,2019-11-02T02:00:00.000,2019,November,2,Saturday,2,39,Alfred Place,32
499,2888125,2019-11-02T02:00:00.000,2019,November,2,Saturday,2,37,Lygon St (East),10
500,2888126,2019-11-02T02:00:00.000,2019,November,2,Saturday,2,40,Lonsdale St-Spring St (West),18
501,2888127,2019-11-02T02:00:00.000,2019,November,2,Saturday,2,36,Queen St (West),153
502,2888128,2019-11-02T02:00:00.000,2019,November,2,Saturday,2,29,St Kilda Rd-Alexandra Gardens,14
503,2888129,2019-11-02T02:00:00.000,2019,November,2,Saturday,2,42,Grattan St-Swanston St (West),87
504,2888130,2019-11-02T02:00:00.000,2019,November,2,Saturday,2,43,Monash Rd-Swanston St (West),8
505,2888131,2019-11-02T02:00:00.000,2019,November,2,Saturday,2,44,Tin Alley-Swanston St (West),4
506,2888132,2019-11-02T02:00:00.000,2019,November,2,Saturday,2,35,Southbank,95
507,2888133,2019-11-02T02:00:00.000,2019,November,2,Saturday,2,45,Little Collins St-Swanston St (East),185
508,2888134,2019-11-02T02:00:00.000,2019,November,2,Saturday,2,46,Pelham St (S),0
509,2888135,2019-11-02T02:00:00.000,2019,November,2,Saturday,2,47,Melbourne Central-Elizabeth St (East),139
510,2888136,2019-11-02T02:00:00.000,2019,November,2,Saturday,2,48,QVM-Queen St (East),21
511,2888137,2019-11-02T02:00:00.000,2019,November,2,Saturday,2,49,QVM-Therry St (South),67
512,2888138,2019-11-02T02:00:00.000,2019,November,2,Saturday,2,50,Faraday St-Lygon St (West),9
513,2888139,2019-11-02T02:00:00.000,2019,November,2,Saturday,2,51,QVM-Franklin St (North),19
514,2888140,2019-11-02T02:00:00.000,2019,November,2,Saturday,2,52,Elizabeth St-Lonsdale St (South),131
515,2888141,2019-11-02T02:00:00.000,2019,November,2,Saturday,2,54,Lincoln-Swanston(West),22
516,2888142,2019-11-02T02:00:00.000,2019,November,2,Saturday,2,55,Elizabeth St-La Trobe St (East),208
517,2888143,2019-11-02T02:00:00.000,2019,November,2,Saturday,2,56,Lonsdale St - Elizabeth St (North),32
518,2888144,2019-11-02T02:00:00.000,2019,November,2,Saturday,2,57,Bourke St Bridge,9
519,2888145,2019-11-02T02:00:00.000,2019,November,2,Saturday,2,58,Bourke St - Spencer St (North),87
520,2888146,2019-11-02T02:00:00.000,2019,November,2,Saturday,2,59,Swanston St - RMIT Building 80,2
521,2888147,2019-11-02T02:00:00.000,2019,November,2,Saturday,2,61,Swanston St - RMIT Building 14,31
522,2888148,2019-11-02T02:00:00.000,2019,November,2,Saturday,2,62,La Trobe St (North),40
523,2888149,2019-11-02T03:00:00.000,2019,November,2,Saturday,3,4,Town Hall (West),96
524,2888150,2019-11-02T03:00:00.000,2019,November,2,Saturday,3,17,Collins Place (South),13
525,2888151,2019-11-02T03:00:00.000,2019,November,2,Saturday,3,18,Collins Place (North),11
526,2888152,2019-11-02T03:00:00.000,2019,November,2,Saturday,3,53,Collins St (North),49
527,2888153,2019-11-02T03:00:00.000,2019,November,2,Saturday,3,2,Bourke Street Mall (South),49
528,2888154,2019-11-02T03:00:00.000,2019,November,2,Saturday,3,1,Bourke Street Mall (North),38
529,2888155,2019-11-02T03:00:00.000,2019,November,2,Saturday,3,3,Melbourne Central,186
530,2888156,2019-11-02T03:00:00.000,2019,November,2,Saturday,3,15,State Library,58
531,2888157,2019-11-02T03:00:00.000,2019,November,2,Saturday,3,9,Southern Cross Station,9
532,2888158,2019-11-02T03:00:00.000,2019,November,2,Saturday,3,10,Victoria Point,5
533,2888159,2019-11-02T03:00:00.000,2019,November,2,Saturday,3,12,New Quay,7
534,2888160,2019-11-02T03:00:00.000,2019,November,2,Saturday,3,11,Waterfront City,0
535,2888161,2019-11-02T03:00:00.000,2019,November,2,Saturday,3,8,Webb Bridge,6
